trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-5076,-216,16852,7684,-5448,14444,7156,13436,6864,8492,-14708,616,-4000,1492,14228,7552,7444,12900
0,-5068,-220,16920,7752,-5368,14340,7164,13404,6920,8512,-14564,388,-4092,1260,14460,7712,7304,12808
0,-4948,-232,16816,7708,-5232,14324,6992,13416,6856,8500,-14676,628,-4148,1096,14416,7668,7348,12760
0,-4928,-172,16812,7648,-5416,14324,7084,13432,6784,8392,-14736,488,-3980,1076,14376,7584,7256,12724
0,-4932,-248,16720,7712,-5356,14372,7028,13476,6928,8368,-14716,528,-4080,1096,14424,7644,7380,12772
0,-5048,-188,16844,7684,-5440,14360,7016,13400,6904,8484,-14696,664,-4140,1016,14284,7600,7304,12732
0,-5124,-256,16752,7752,-5400,14252,7028,13452,6876,8404,-14728,692,-4144,804,14276,7552,7420,12696
0,-5080,-196,16660,7740,-5428,14188,7044,13480,6812,8492,-14676,588,-4188,960,14352,7440,7428,12848
0,-5156,-292,16692,7816,-5444,14228,7028,13356,6904,8396,-14588,588,-4264,972,14444,7604,7664,12788
0,-5088,-220,16732,7760,-5612,14224,7048,13360,6792,8456,-14624,632,-4092,796,14468,7596,7552,12784
0,-5096,-244,16700,7676,-5496,14224,7096,13332,7004,8424,-14692,532,-4176,1012,14424,7572,7536,13000
0,-5072,-180,16684,7736,-5516,14320,7068,13504,6756,8572,-14616,372,-4016,876,14588,7528,7424,12952
0,-5168,-272,16920,7840,-5580,14220,7052,13280,6836,8356,-14612,540,-4136,992,14572,7528,7332,12980
0,-5124,-236,16704,7732,-5536,14224,7112,13404,6848,8568,-14728,476,-3988,1060,14528,7536,7380,12884
0,-5196,-268,16700,7872,-5532,14264,7136,13368,7024,8496,-14556,416,-3852,1024,14508,7552,7244,12824
0,-5104,-200,16772,7704,-5416,14336,7196,13284,6896,8472,-14664,416,-4068,1068,14272,7480,7384,12800
0,-5092,-280,16764,7720,-5488,14288,7168,13312,6888,8476,-14716,544,-4020,1000,14456,7592,7480,12920
0,-5260,-328,16732,7664,-5348,14364,7116,13396,6904,8468,-14680,584,-4084,996,14448,7468,7400,12840
0,-5024,-216,16784,7732,-5380,14292,7120,13396,6844,8564,-14668,492,-4188,992,14496,7576,7520,12864
0,-5024,-244,16700,7692,-5400,14348,7168,13432,6804,8624,-14640,428,-4152,1020,14516,7520,7524,12928
0,-4976,-164,16732,7732,-5428,14348,7196,13416,6788,8576,-14684,408,-4168,920,14276,7656,7528,12872
0,-5144,-128,16692,7792,-5556,14392,7140,13516,6940,8464,-14520,508,-4216,1044,14288,7580,7392,12700
0,-4988,-200,16708,7724,-5568,14396,7220,13552,6804,8452,-14468,660,-4216,1000,14248,7540,7480,12648
0,-5060,-172,16760,7800,-5548,14304,7136,13488,6716,8500,-14564,828,-4176,936,14240,7584,7484,12636
0,-5016,-192,16780,7744,-5556,14216,7200,13504,6928,8532,-14604,480,-4256,896,14336,7624,7632,12740
0,-5048,-216,16568,7712,-5532,14424,7148,13380,6692,8576,-14604,708,-4228,932,14304,7524,7664,12736
0,-5152,-272,16712,7732,-5488,14332,7088,13400,6824,8512,-14676,484,-4272,1028,14380,7588,7484,12824
0,-4972,-204,16712,7676,-5540,14344,7076,13444,6924,8640,-14628,692,-4256,1040,14300,7624,7404,12884
0,-5060,-240,16712,7752,-5496,14276,7072,13428,6856,8476,-14704,540,-4240,1096,14388,7664,7472,12816
0,-5120,-188,16888,7816,-5556,14384,7140,13464,6780,8480,-14524,476,-4152,1064,14404,7612,7416,12932
0,-5104,-276,16808,7744,-5512,14384,7140,13444,6920,8504,-14604,468,-4188,1008,14408,7632,7468,12824
0,-5148,-256,16812,7756,-5488,14440,7092,13408,6872,8436,-14588,440,-4164,1124,14412,7556,7368,12796
0,-4924,-228,16780,7716,-5492,14260,7176,13428,6952,8524,-14624,444,-4060,1088,14356,7596,7360,13000
0,-5004,-172,16848,7764,-5528,14364,7096,13444,6884,8448,-14664,444,-4064,1012,14404,7600,7460,12936
0,-5116,-200,16868,7788,-5424,14360,7064,13356,6988,8560,-14692,500,-4088,1120,14396,7564,7560,12816
0,-4988,-204,16720,7676,-5392,14404,7028,13300,6896,8388,-14684,524,-4064,1136,14436,7536,7424,12904
0,-4924,-268,16992,7652,-5500,14332,7144,13404,6948,8468,-14588,496,-4112,1348,14388,7456,7504,12836
0,-4892,-232,16776,7700,-5428,14412,7044,13256,6916,8496,-14600,492,-4120,1092,14192,7564,7408,12940
0,-4996,-252,16688,7728,-5432,14268,7136,13436,7012,8472,-14612,456,-4140,940,14424,7480,7444,12904
0,-5108,-384,16784,7684,-5464,14332,7044,13328,6904,8512,-14692,488,-4096,1036,14392,7576,7424,12672
0,-5064,-308,16756,7888,-5388,14312,7120,13484,6932,8596,-14704,560,-4108,1080,14292,7564,7468,12856
0,-5056,-308,16632,7696,-5440,14336,7172,13376,6876,8492,-14552,560,-4088,976,14260,7468,7420,12816
0,-5040,-244,16680,7700,-5464,14180,7088,13384,6828,8520,-14592,348,-4092,980,14312,7528,7548,12812
0,-5076,-204,16708,7700,-5472,14364,7184,13376,6820,8528,-14668,504,-4220,980,14520,7524,7504,12796
0,-5080,-172,16832,7796,-5512,14412,7196,13408,6652,8576,-14656,664,-4120,876,14332,7528,7472,12788
0,-5204,-152,16712,7704,-5488,14452,7096,13416,6760,8584,-14512,576,-4104,964,14412,7548,7488,12976
0,-5108,-156,16812,7744,-5480,14336,7192,13440,6852,8472,-14572,640,-4216,1016,14468,7532,7552,12940
0,-5116,-128,16732,7684,-5560,14284,7172,13416,6872,8528,-14644,588,-4148,1196,14344,7532,7592,12840
0,-5172,-148,16780,7688,-5572,14336,7220,13448,6712,8460,-14588,380,-4008,1028,14576,7452,7460,12732
0,-5204,-160,16824,7752,-5532,14340,7156,13364,6768,8464,-14668,588,-4088,856,14352,7500,7436,12828
0,-5160,-136,16852,7668,-5428,14292,7184,13472,7012,8412,-14520,548,-4084,920,14388,7512,7428,12880
0,-5072,-220,16728,7684,-5484,14380,7088,13436,6912,8512,-14664,468,-4036,1104,14160,7536,7456,12900
0,-4880,-188,16784,7692,-5548,14496,7104,13452,6832,8532,-14592,544,-4140,992,14384,7380,7324,12752
0,-5024,-252,16768,7824,-5460,14336,7072,13476,6916,8620,-14668,392,-4232,988,14648,7644,7504,12608
0,-5028,-148,16564,7688,-5384,14336,7024,13384,6844,8412,-14600,424,-4156,844,14384,7488,7648,12720
0,-4988,-192,16888,7664,-5432,14392,7164,13388,6908,8484,-14552,524,-4156,800,14480,7536,7552,12708
0,-5004,-232,16804,7800,-5496,14220,7056,13380,6768,8552,-14676,680,-4036,876,14400,7660,7380,12800
0,-5028,-188,16764,7724,-5396,14248,7220,13444,6912,8596,-14704,500,-4040,1064,14356,7472,7392,12900
0,-5020,-228,16684,7676,-5508,14340,7072,13340,6920,8380,-14648,344,-4104,980,14312,7724,7416,12876
0,-5008,-200,16856,7732,-5500,14228,7160,13308,7148,8428,-14584,408,-4212,1092,14276,7684,7260,12856
0,-5072,-176,16676,7740,-5444,14308,7184,13444,6860,8400,-14688,452,-4080,1072,14220,7616,7480,12928
0,-4976,-124,16912,7656,-5548,14300,7040,13376,7012,8472,-14656,500,-4080,1016,14264,7568,7420,12864
0,-5064,-96,16740,7788,-5488,14404,7152,13500,6824,8476,-14632,436,-4068,1100,14428,7520,7488,12776
0,-5068,-96,16876,7648,-5608,14360,7084,13332,6868,8476,-14556,504,-4112,1004,14532,7548,7532,12712
0,-4968,-160,16772,7668,-5464,14400,7164,13444,6836,8540,-14652,564,-4072,1076,14416,7512,7460,12972
0,-5032,-192,16768,7676,-5592,14292,7052,13452,6852,8484,-14608,436,-4088,948,14724,7488,7388,12780
0,-5120,-104,16816,7652,-5460,14340,7148,13512,6880,8584,-14664,356,-4048,728,14480,7492,7464,13068
0,-5024,-144,16812,7784,-5496,14240,7288,13328,6916,8548,-14692,660,-3976,788,14600,7496,7500,12976
0,-5016,-144,16844,7712,-5520,14364,7116,13392,6800,8564,-14644,360,-4140,888,14536,7460,7456,12668
0,-4964,-20,16984,7760,-5524,14312,7204,13344,6872,8568,-14576,516,-4100,992,14240,7564,7500,12796
0,-5056,-64,16908,7660,-5548,14228,7148,13368,6840,8476,-14656,492,-4164,864,14220,7584,7440,12852
0,-4988,-76,16796,7632,-5488,14236,7228,13380,6884,8572,-14588,444,-4072,776,14484,7440,7512,12860
0,-5116,-36,16808,7636,-5540,14232,7136,13320,6840,8624,-14604,608,-4092,720,14328,7436,7484,12812
0,-4968,-140,16828,7708,-5568,14288,7140,13404,6804,8468,-14612,508,-4116,780,14188,7500,7468,12864
0,-5060,-188,16660,7652,-5516,14396,7296,13444,6832,8584,-14604,568,-4244,792,14136,7592,7496,12648
0,-4996,-52,16780,7716,-5564,14316,7084,13448,6804,8448,-14632,492,-4132,796,14128,7448,7456,12676
0,-5104,-240,16640,7696,-5484,14260,7240,13424,6912,8456,-14668,424,-4256,876,14164,7604,7460,12696
0,-5028,-164,16736,7728,-5448,14212,7004,13400,6836,8448,-14676,524,-4156,896,14276,7496,7508,12820
0,-4984,-308,16780,7652,-5480,14308,7028,13348,6964,8404,-14584,504,-4240,868,14308,7436,7496,12816
0,-4996,-200,16792,7704,-5440,14204,7052,13400,6744,8372,-14500,420,-4068,928,14492,7472,7436,12856
0,-4964,-156,16856,7732,-5516,14448,6972,13372,6732,8344,-14652,504,-3972,968,14720,7576,7292,13084
0,-4892,-240,16816,7704,-5468,14376,7084,13420,6744,8524,-14540,548,-3948,1084,14768,7464,7400,13116
0,-4840,-276,16852,7656,-5416,14348,7080,13424,6948,8492,-14592,484,-3928,1020,14552,7536,7192,13020
