trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-756,-4684,17104,9888,-220,14136,7464,14508,4160,8800,-13860,3416,-2744,-868,14924,6724,6260,14104
0,-864,-4560,16992,9928,-200,14108,7372,14704,4132,8772,-14020,3564,-2812,-784,14848,6740,6152,14028
0,-892,-4568,17080,9868,-268,13940,7304,14696,4100,8552,-14104,3300,-2708,-644,14728,6740,5936,14088
0,-868,-4640,17008,10048,-144,13824,7196,14636,4352,8568,-14256,3200,-2692,-552,14704,6904,5628,13836
0,-860,-4768,17160,10008,-100,13684,7052,14580,4388,8216,-14428,3232,-2700,-392,14708,6820,5520,13944
0,-860,-4892,16888,9964,196,13692,6892,14488,4552,8116,-14532,2988,-2592,-528,14904,6808,5396,13948
0,-908,-4908,16868,10012,248,13792,6640,14368,4688,7988,-14628,2820,-2548,-612,14620,6672,5428,14060
0,-840,-4888,16908,9988,312,13632,6560,14304,4940,7912,-14796,2724,-2520,-424,15156,6936,5616,14296
0,-836,-4976,17064,9956,176,13596,6412,14216,4976,7864,-14824,2680,-2308,-432,15192,6592,5676,14508
0,-872,-5000,16720,10068,172,13676,6328,14308,5112,7652,-14980,2608,-2252,-236,15428,6648,5264,14564
0,-884,-4864,16832,10012,328,13560,6240,14264,5144,7632,-15116,2392,-2104,-80,15360,6852,5136,14564
0,-1012,-5064,16696,10184,232,13764,6260,14164,5208,7664,-15240,2452,-2032,216,15344,6924,4968,14876
0,-928,-5200,16512,9820,-400,13760,6448,14080,5464,7720,-15184,2260,-1800,336,15364,6920,5104,14800
0,-940,-5396,16604,10080,-276,13812,6476,13880,5588,7784,-15112,2120,-1952,508,15188,6900,5040,14716
0,-1156,-5220,16420,10120,248,13908,6672,13752,5432,7896,-14980,2028,-1944,744,14884,6864,4932,14864
0,-988,-5164,16364,10084,540,13788,7064,13632,5612,8156,-15092,2128,-1844,864,15024,6716,4864,14328
0,-916,-5228,16464,9876,588,13860,7128,13480,5500,8540,-14892,1928,-1896,808,14256,6900,4720,14064
0,-812,-5000,16500,9832,592,13868,7624,13248,5608,8844,-14736,1996,-2256,696,13992,6760,4884,13792
0,-824,-4952,16672,9640,412,14036,7552,13320,5420,8948,-14644,2064,-2536,336,13652,6824,5108,13608
0,-684,-4476,16888,9644,200,14244,7536,13384,5452,9080,-14464,2012,-2856,228,13432,6824,5456,13304
0,-748,-4252,16804,9444,-96,14404,7576,13452,5292,9036,-14472,2144,-2964,224,13452,6784,5788,13544
0,-828,-3972,16988,9440,-484,14244,7516,13644,5164,8960,-14464,2388,-2992,-188,13864,6648,5768,13360
0,-956,-3564,17104,9372,-876,14300,7516,13904,5188,8756,-14404,2388,-2888,168,14604,6656,6060,12956
0,-892,-3200,17340,9204,-1384,14496,7496,13928,4860,8964,-14412,2644,-3072,-12,14820,7028,6676,13096
0,-772,-3080,17512,9184,-1720,14744,7552,14036,4776,8844,-14336,2608,-3312,-256,15200,7300,6528,13188
0,-744,-3180,17472,9196,-1696,14800,7524,14132,4816,8908,-14232,2768,-3616,-420,15512,7624,6748,13184
0,-680,-3072,17500,9072,-1524,15016,7456,14140,4772,9024,-13992,2764,-3760,-688,15716,7520,6620,13692
0,-668,-3432,17648,9176,-1084,15212,7472,14276,4592,9100,-14084,2820,-3780,-500,15532,7776,6556,13796
0,-296,-3616,17716,9196,-844,15036,7456,14340,4644,9052,-14116,2844,-4228,-220,15772,8312,6724,13636
0,-140,-3892,17980,9020,-800,15140,7424,14496,4648,8976,-14164,2888,-4192,-168,15260,8136,6628,13512
0,72,-4040,18084,9008,-480,15068,7596,14472,4552,9140,-14096,2928,-3792,28,14664,7924,6544,13452
0,284,-4480,18068,9116,-252,15188,7824,14376,4812,9324,-13960,3016,-3972,156,14304,7972,6020,13252
0,188,-4464,18044,9300,108,15340,7856,14264,4576,9388,-13884,2776,-3776,256,14200,7944,6004,13208
