trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-6012,-1144,16264,8124,-4364,14540,7200,14512,4072,8624,-14320,3312,-10296,-632,11156,8048,10368,10272
0,-6036,-1052,16316,8024,-4312,14580,7212,14440,4112,8700,-14256,3360,-10240,-612,11184,7952,10396,10160
0,-6020,-1120,16328,7996,-4308,14696,7236,14400,4160,8544,-14396,3252,-10184,-656,11008,7976,10280,10256
0,-5876,-1148,16452,8140,-4352,14484,7292,14364,4168,8460,-14356,3352,-10176,-648,11144,7932,10260,10304
0,-5892,-1124,16436,7984,-4292,14396,7160,14324,4224,8484,-14380,3376,-10120,-620,11184,7912,10284,10300
0,-5888,-1148,16468,7984,-4192,14468,7292,14276,4212,8692,-14444,3072,-10084,-636,11068,7960,10356,10336
0,-5964,-1224,16316,7928,-4176,14588,7176,14248,4308,8692,-14364,3176,-10064,-572,11112,7984,10320,10340
0,-5964,-1248,16364,8028,-4168,14516,7108,14292,4292,8628,-14356,3280,-9972,-516,11204,7988,10260,10448
0,-5916,-1444,16516,7968,-4204,14636,7032,14296,4296,8508,-14392,3172,-10140,-480,11324,7872,10376,10340
0,-5840,-1316,16672,7980,-4160,14644,7052,14292,4388,8476,-14536,3284,-10184,-552,11240,8068,10356,10340
0,-5740,-1320,16544,8008,-4104,14780,6996,14312,4220,8440,-14488,3316,-10028,-472,11204,8144,10208,10340
0,-5896,-1316,16532,8044,-4064,14692,6996,14232,4376,8504,-14324,3248,-10064,-436,11196,8124,10016,10388
0,-5896,-1336,16448,7980,-4120,14608,7064,14312,4228,8520,-14344,3228,-9988,-512,11304,8040,10200,10592
0,-5972,-1316,16512,8048,-4108,14624,7008,14248,4244,8608,-14308,3368,-10120,-404,11248,8024,10176,10396
0,-5848,-1320,16508,8036,-4148,14540,7104,14432,4200,8612,-14404,3308,-10096,-456,11192,8076,10148,10452
0,-5808,-1320,16532,8072,-4132,14564,6932,14284,4188,8516,-14464,3136,-10072,-360,11004,7976,10108,10428
0,-5952,-1400,16568,7976,-4152,14764,7112,14328,4232,8580,-14428,3240,-10136,-380,11260,7956,10328,10440
0,-5932,-1304,16276,8044,-4112,14516,7088,14384,4244,8660,-14536,3212,-10168,-536,11068,8012,10328,10408
0,-5940,-1148,16440,8012,-4192,14696,7136,14340,4332,8672,-14492,3304,-10156,-596,11272,8020,10236,10604
0,-5880,-1400,16196,8152,-4252,14536,7116,14328,4312,8560,-14544,3236,-10060,-612,11188,7952,10312,10444
0,-5928,-1288,16364,7924,-4316,14584,7072,14368,4312,8448,-14368,3272,-10080,-604,11168,7892,10176,10368
0,-5996,-1300,16384,8060,-4308,14448,7004,14300,4376,8476,-14344,3112,-10156,-584,11208,7936,10312,10252
0,-5912,-1308,16380,8020,-4192,14484,7620,14188,4296,8928,-14380,3076,-10136,-508,11132,7924,10316,10308
0,-5852,-1204,16232,8012,-4320,14616,7380,14296,4320,8604,-14384,3336,-10092,-732,10732,7924,10300,10172
0,-5872,-1148,16464,8008,-4340,14504,7176,14228,4292,8596,-14208,3264,-10144,-716,10776,7916,10356,10220
0,-5864,-1092,16184,7956,-4336,14632,7260,14376,4096,8824,-14340,3152,-10212,-736,10836,7760,10500,10096
