trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-3488,-3776,16896,7400,-1036,15464,5100,5072,15472,6528,-10104,-11120,-1916,-136,14988,7344,4956,14200
0,-3568,-3932,16912,7264,-1044,15536,5096,5060,15392,6444,-10004,-10956,-1904,68,15008,7408,4704,14072
0,-3608,-3892,16844,7308,-1084,15472,5052,5080,15364,6536,-10020,-10952,-1856,68,15112,7460,4696,13988
0,-3444,-3920,16928,7340,-884,15472,5052,5044,15332,6464,-10056,-10820,-1944,176,15016,7424,4796,14068
0,-3412,-3944,16836,7232,-1000,15516,5124,5204,15392,6448,-9992,-10800,-1896,108,15012,7408,4772,14180
0,-3492,-3900,16808,7368,-896,15212,5236,5140,15340,6572,-10068,-10888,-1860,156,15132,7460,4704,14292
0,-3420,-3924,16776,7292,-764,15228,5056,5236,15512,6500,-10076,-10772,-1864,40,15176,7456,4728,14088
0,-3260,-3956,16720,7240,-656,15460,5224,5192,15568,6572,-10164,-11068,-1716,116,15188,7456,4636,14316
0,-3280,-4076,16764,7332,-780,15472,5236,5132,15656,6616,-10156,-11052,-1844,296,15216,7464,4684,14260
0,-3436,-4080,16988,7168,-928,15504,5220,5080,15552,6580,-10068,-11016,-1912,128,15144,7624,4636,14280
0,-3424,-4024,16840,7164,-928,15804,5128,4976,15552,6528,-10100,-11108,-2072,164,14872,7608,4632,14020
0,-3588,-3984,16924,7320,-1132,15476,5256,4932,15492,6556,-10140,-10960,-2100,-100,15144,7680,4852,14232
0,-3656,-4016,17036,7356,-1076,15672,5324,4904,15484,6512,-10164,-11076,-1980,-124,15088,7424,4868,14132
0,-3624,-3860,16940,7440,-1072,15400,5176,4868,15696,6576,-10052,-10820,-2084,-108,15056,7476,4908,13916
0,-3668,-3912,16916,7500,-1092,15444,5240,4880,15532,6576,-9984,-10884,-2084,-196,15260,7388,5056,13980
0,-3464,-3820,16980,7332,-1100,15516,5272,4956,15428,6584,-10112,-10956,-2068,-304,15092,7324,5004,13924
0,-3492,-3852,16996,7264,-1112,15380,5240,5032,15500,6660,-10056,-10772,-2088,-308,15072,7440,5048,13996
0,-3560,-3752,16920,7176,-1164,15400,5164,5048,15452,6512,-10052,-10968,-2120,-376,15056,7396,4952,14052
0,-3644,-3792,16852,7296,-1256,15296,5256,4980,15356,6564,-10104,-10920,-2112,-212,15104,7380,4852,14168
0,-3544,-3944,16720,7300,-1164,15240,5344,5232,15404,6528,-10108,-10912,-1932,-148,15104,7264,5028,14228
0,-3472,-3752,16728,7228,-1036,15420,5304,5276,15376,6544,-10128,-10976,-2016,-244,15040,7376,4904,14196
0,-3556,-3824,16748,7312,-996,15400,5340,5188,15336,6496,-10080,-10852,-1996,-332,15152,7392,4904,14168
0,-3644,-3980,16884,7308,-936,15336,5204,5200,15536,6532,-10120,-10744,-2000,-168,15060,7432,4968,14092
0,-3412,-3892,16892,7424,-972,15412,5164,5156,15484,6548,-10124,-10856,-2016,-288,15108,7464,4872,14148
0,-3448,-3924,16808,7372,-1056,15648,5132,5128,15364,6360,-10044,-10920,-1984,0,15048,7420,4944,14132
0,-3552,-3888,16972,7376,-936,15328,5124,5208,15396,6556,-10016,-10736,-1868,-172,15172,7380,4836,14108
0,-3468,-3880,16908,7308,-996,15480,5260,5056,15256,6464,-10004,-10880,-1940,-36,15172,7328,4852,14164
0,-3464,-3968,16984,7312,-996,15456,5132,5160,15464,6540,-10032,-10880,-1996,-156,15080,7404,4832,14280
0,-3376,-3972,16828,7332,-1012,15484,5160,5076,15428,6516,-10176,-10968,-1840,-192,15184,7428,4836,14252
0,-3456,-3892,17060,7248,-928,15540,5120,5176,15560,6428,-10164,-11048,-1844,-144,15128,7540,4788,14256
0,-3376,-3980,16908,7416,-952,15592,5152,5140,15568,6556,-10140,-10992,-1952,-156,15064,7348,4832,14228
0,-3452,-3828,16940,7280,-1108,15508,5160,5176,15576,6624,-10140,-10864,-1908,-172,14992,7456,4764,14116
0,-3356,-4016,16984,7224,-1048,15428,5052,5068,15604,6516,-10164,-10908,-1896,-192,15016,7468,4864,14228
0,-3464,-3820,16852,7244,-1016,15348,5168,5132,15556,6632,-10176,-10968,-1944,-184,15060,7400,4928,14144
0,-3372,-3876,16884,7236,-1052,15332,5236,5152,15476,6524,-10024,-10956,-1908,-84,15088,7412,5008,14152
0,-3488,-3920,16816,7256,-1120,15380,5232,5056,15448,6620,-10100,-10824,-1908,-56,15112,7348,4920,14108
0,-3400,-3836,17084,7288,-992,15356,5240,5064,15548,6548,-10036,-10896,-1940,-248,15220,7436,4904,14148
0,-3388,-3912,16920,7212,-1020,15396,5200,5064,15456,6552,-10128,-10928,-2008,-196,15108,7352,4976,14160
0,-3548,-3728,16888,7372,-1168,15316,5208,5148,15348,6456,-10156,-10968,-1924,-320,15224,7284,4960,14224
0,-3556,-3760,16924,7388,-1048,15428,5328,5032,15468,6572,-10000,-11040,-2040,-328,15056,7272,4992,14100
0,-3424,-3856,16824,7260,-976,15280,5220,5132,15480,6488,-10184,-10876,-2004,-324,15060,7368,4936,14160
0,-3480,-3776,16844,7224,-1064,15416,5368,5112,15536,6628,-10120,-10828,-2008,-228,15120,7256,5044,14080
0,-3384,-3708,16792,7272,-996,15320,5368,5224,15316,6600,-10092,-10908,-2044,-144,15132,7328,4864,14044
0,-3456,-3792,16956,7320,-1056,15280,5232,5168,15308,6532,-10112,-10796,-2056,-212,15096,7360,5032,14100
0,-3472,-3784,16968,7268,-1084,15432,5208,5152,15396,6564,-10068,-10964,-1996,-244,15132,7336,4840,14128
0,-3384,-3868,16940,7184,-1024,15444,5224,5196,15528,6540,-10140,-10912,-1976,-304,15252,7444,4920,14216
0,-3464,-3704,17044,7272,-1084,15328,5236,5180,15412,6588,-10072,-10912,-1944,-224,15104,7340,4992,14292
0,-3380,-3716,17048,7268,-1072,15348,5264,5100,15476,6580,-10124,-10712,-2040,-220,14988,7332,5004,14104
0,-3436,-3764,17076,7308,-1136,15296,5200,5048,15608,6480,-10144,-11004,-2020,-316,15192,7408,4848,14136
0,-3488,-3904,16968,7264,-1108,15536,5280,5044,15540,6576,-10184,-10852,-2044,-252,15032,7340,4896,14072
0,-3532,-3788,16928,7272,-1016,15504,5244,5128,15412,6584,-10112,-10980,-1984,-272,15148,7284,4896,14144
0,-3368,-3660,16928,7272,-988,15336,5128,5056,15372,6504,-10180,-10968,-1928,-316,14972,7280,4944,14060
0,-3420,-3860,16956,7304,-1052,15296,5148,5024,15592,6636,-10192,-10872,-1892,-256,15132,7352,4980,14064
0,-3436,-3792,16848,7256,-976,15600,5232,5024,15548,6568,-10016,-10908,-2000,-320,15208,7356,4928,14076
0,-3524,-3736,16892,7284,-1100,15328,5148,5080,15588,6608,-10116,-10836,-1956,-360,15040,7432,4856,14124
0,-3424,-3828,16896,7304,-1028,15464,5212,4932,15460,6568,-10100,-10936,-1844,-224,15228,7348,5004,13972
0,-3408,-3856,16824,7372,-1028,15496,5200,5016,15624,6460,-10112,-10884,-1936,-224,15204,7328,4900,14216
0,-3420,-3920,16748,7296,-1028,15424,5108,5116,15460,6616,-10104,-10904,-1888,-156,15248,7328,4868,14184
0,-3392,-3800,16980,7276,-1064,15452,5140,5124,15428,6584,-10204,-10872,-1888,-340,15048,7352,4956,14320
0,-3388,-3912,16828,7256,-1172,15548,5068,5068,15396,6476,-10068,-10848,-1884,-324,14936,7228,4852,14136
0,-3432,-3780,16956,7216,-1020,15652,5208,5188,15552,6532,-10156,-11072,-1956,-244,15036,7372,4848,14164
0,-3492,-3744,16828,7280,-980,15344,5288,5208,15512,6532,-10084,-10836,-1980,-224,15176,7356,4944,14156
0,-3440,-3852,16780,7208,-1000,15436,5120,5100,15328,6536,-10116,-10880,-2048,-244,15032,7264,4980,14128
0,-3356,-3856,16780,7164,-968,15452,5208,5064,15488,6536,-10112,-10892,-1992,-296,15144,7404,5060,14108
0,-3392,-3936,16928,7284,-980,15276,5232,5132,15508,6424,-10116,-11004,-2052,-300,15016,7288,4984,13996
0,-3424,-3960,17008,7328,-996,15580,5252,5100,15584,6584,-10060,-10964,-2060,-460,15032,7348,4972,14132
0,-3336,-3988,16964,7216,-948,15568,5128,5072,15520,6568,-10016,-11116,-1964,-372,15084,7232,5068,14108
0,-3300,-3992,17044,7260,-956,15428,5204,5240,15380,6500,-10128,-10788,-2032,-308,15328,7272,4980,14260
0,-3392,-3920,17012,7320,-936,15632,5264,5196,15388,6520,-10112,-10916,-1964,-256,15060,7336,4952,14136
0,-3464,-3884,17020,7296,-1100,15512,5200,5040,15504,6448,-10132,-10980,-1968,-212,15096,7344,4912,14168
0,-3372,-3972,17020,7244,-1100,15572,5164,5112,15504,6552,-10280,-10896,-1912,-160,15248,7396,4952,14308
0,-3320,-3864,16960,7304,-1084,15460,5180,5124,15428,6492,-10152,-10768,-2028,-264,15140,7412,4880,14260
0,-3448,-3928,17020,7300,-1064,15440,5332,5176,15560,6520,-10092,-10764,-1956,-392,15160,7332,4912,14248
0,-3468,-3880,16868,7212,-1052,15536,5156,5136,15488,6436,-10184,-10956,-1904,-328,15144,7436,4788,14248
